user_review_no,rating,time_ago,comment_likes,user_text,Service,Vegetarian offerings,Wheelchair accessibility,Kid-friendliness,Price per person,Atmosphere,Vegetarian options,,Meal type,Parking space,Dietary restrictions,Parking options,Parking,Recommendation for vegetarians,Recommended dishes,Food
,3 stars,3 months ago,,"His service is very very poor , 1 orders completed at 45-50 minutes,",1,,,,₹200–400,4,,,Dinner,,,,,,,5
 229 reviews ,5 stars,4 months ago,,"Food was yumm, rate are very fair, loved it",4,,,,,4,,,,,,,,,,5
 67 reviews,1 star,a year ago,,"Worst restaurant in Varanasi !  We waited almost an hour for food to be ready . Some dishes were cold . All the dishes were generally not delectable or tasty .
Service is bad too . Staff are very defensive when feedback is given to them . Prices are expensive as well . I will definitely never come back !",,,,,,,,,,,,,,,,
 13 reviews,5 stars,10 months ago,,It's a self service resturant. It's kinda not cheap price wise .it's affordable. I like too many things from here .,5,,,,₹200–400,5,,,Breakfast,,,,,,"Jugalbandi Pizza, Paneer Butter Masala, White Sauce Pasta, Cheese Rolls, Veg Pasta, Pav Bhaji, Hakka Noodles, Mushroom Rolls",5
 37 reviews ,4 stars,10 months ago,,"Food taste is little bit above average. Ambience is good.
Prompt service during weekdays",5,,,,₹200–400,5,,,Brunch,,,,,Somewhat recommend,"White Sauce Pasta, Hakka Noodles, Chilli Garlic Noodles",4
,1 star,a year ago,,"It's to much delay service for providing food ..
I'm not satisfied with this restaurant...
I'm totally tried this restaurant ...

I order rice combo food around 8:30 … and still not given ... It's too late for delay service ..",1,,,,₹400–600,1,,,Dinner,,,,,,,1
 46 reviews ,3 stars,2 years ago,,"The pasta was good..but the mango shake was having artificial taste. I think they hadn't used real mango instead they might have used some syrup or artificial flavouring agent. Banaras have varities of mangoes and in the peak season they are using something else which was very disappointing... There is self service in this restaurant.. u have to wait for atleast 30min for ur order.  You will see rush in this place , especially filled with students.. prices are almost affordable..
Also there was more gravy than mushrooms 😢",,,,,,,,,,,,,,,,
 135 reviews ,4 stars,2 years ago,1,"Great place to have a quick bite or even a full meal. The food we tried was good in taste, the pink panther drink was medeocrish though. Getting served is a bit of a Hassel as all your ordered items might not be ready at the same time, you'll have to walk to the serving counter every time, there is no one to carry your order to your table.

The pav bhaji and dosa we tried were tasty enough to recommend.",,,,,,,,,,,,,,,,
 58 reviews ,5 stars,a year ago,1,"Review:
The Capsicum Food Court is a gastronomic paradise that caters to the cravings of food enthusiasts in a vibrant and inviting atmosphere. Situated in a prime location, this food court offers a diverse range of delectable dishes and a memorable dining experience.

Open and Close Times:
The Capsicum Food Court operates from morning till late evening, accommodating various dining preferences. Whether you're looking for a hearty breakfast, a quick lunch, or a delightful dinner, the food court is open throughout the day, ensuring you can satisfy your hunger whenever it strikes.

Culinary Delights:
The Capsicum Food Court boasts an extensive array of culinary options that will leave you spoilt for choice. From local street food to international flavors, there is something to satisfy every palate. Here are some mouthwatering highlights:

1. Spicy Delights at ""Fire & Spice"": Indulge in the fiery flavors of spicy Indian cuisine, with tantalizing dishes like chicken tikka masala, butter chicken, and biryanis that will transport your taste buds to a culinary paradise.

2. Oriental Fusion at ""Wok 'n' Roll"": Experience the best of Asian cuisine with a fusion twist. Enjoy sizzling stir-fried noodles, flavorful Thai curries, and mouthwatering sushi rolls crafted with precision and creativity.

3. Comfort Food at ""Soulful Bites"": Dive into a world of comfort food, where classics meet innovation. From cheesy pizzas and juicy burgers to soul-warming pasta and delectable sandwiches, these dishes will leave you craving for more.

4. Sweet Temptations at ""Sugar & Spice"": Indulge your sweet tooth with an array of delightful desserts. Treat yourself to creamy ice creams, heavenly pastries, and traditional Indian sweets that will satisfy your cravings for the perfect finale.

The inviting ambiance of the food court, coupled with attentive and friendly staff, enhances the overall dining experience, making it a perfect spot for family outings, friendly get-togethers, or even a solo food adventure.

Hygiene and Cleanliness:
The Capsicum Food Court prioritizes hygiene and cleanliness. The dining area is well-maintained, ensuring a pleasant and comfortable environment for visitors. The food vendors maintain high standards of food safety and cleanliness, ensuring that you can enjoy your meal with confidence.

In conclusion, The Capsicum Food Court is a culinary haven that offers a delightful array of flavors and dishes to please every palate. With its diverse culinary options, open timings, and commitment to hygiene, this food court is a must-visit destination for food lovers seeking a memorable dining experience. Get ready to embark on a culinary journey that will tantalize your taste buds and leave you craving for more!",5,,,,₹600–800,5,,,Dinner,,,,,,"Jugalbandi Pizza, Paneer Butter Masala, Cheese Rolls, Fried, Mushroom Rolls, Chhole Bhature",5
,1 star,a year ago,,"They prefer delivering Zomato/online orders over the customers who are dining in at the restaurant and take too much time to deliver the food to the table.
If you are in hurry and don't want to wait long then you should not go this place, specially on weekends.",,,,,,,,,,,,,,,,
 23 photos,4 stars,2 years ago,,You can eat whatever you want at affordable prices 😋 …,,,,,,,,,,,,,,,,
 36 reviews ,5 stars,2 years ago,1,"I will recommend to try their white Pasta.
It's delicious 😋. …",,,,,,,,,,,,,,,,
 6 photos,5 stars,a month ago,,Very nice food and service 😋,5,,,,,5,,,,,,,,,,5
 4 reviews ,4 stars,a year ago,,"Delicious food, family friendly restaurant, budget friendly too. Great place to hangout on birthday party or any other occasion. Must visit once.",4,,,,₹200–400,3,,,Lunch,Somewhat difficult to find parking,,Free street parking,,,Chhole Bhature,5
 41 reviews ,5 stars,2 years ago,1,"A very good foodcourt that is neatly maintained. There are Chinese, Italian, north Indian, and south Indian dishes on the menu.There are also a range of shakes, smoothies, and coolants to choose from. Ice cream and pastries are also available. It's a busy spot where all kinds of people come to enjoy the food. Because of the rush, you may have to wait for your order to appear on the order board after you place it. You can dine in, get takeout, or order delivery with Zomato. It is immaculately clean and sanitary. You can visit for breakfast, brunch, lunch or dinner here.",,,,,,,,,,,,,,,,
 55 reviews ,5 stars,2 years ago,,"I really liked the food here, the food here is very tasty, you must visit here once",,,,,,,,,,,,,,,,
 54 reviews ,5 stars,a year ago,,Best place for all age groups and best food with best rates.,5,,There is no wheelchair accessibility,Kids can also go there.,₹1–200,5,Hygienic food available,,Lunch,,No there is no such dietary restrictions followed.,"Free street parking, Parking is unavailable",They do not provide any parking you can park your vehicle on the roadside.,,"Hakka Noodles, Chhole Bhature",5
 93 reviews ,5 stars,a year ago,,"I won . Gift card for Fairway Restaurant in Eastham from Cape 104.7 radio. Brought my sister for breakfast. The breakfast was crab cakes with spinach and poached eggs and hollandaise sauce. Jill got fried green tomatoes with spinach and poached eggs with hollandaise sauce. Both were Excellent. The restaurant is very clean. Professional Staff. I would recommend Fairway Restaurant
Amazing! A must! This casual dining restaurant has something for everyone! I had the mushroom risotto with scallops: the dish was to die for! It was a generous portion, served piping hot, creamy and with large scallops. Our wonderful server, Jess, brought us dinner rolls to eat while we waited for our meal.",,,,,,,,,,,,,,,,
 106 reviews ,5 stars,2 years ago,,"Good taste as well as serving. The platters are good. They have many varieties in platter but I like ""Maharaja"" most. It gets crowded on festive occasions but normally service is faster. They don't have the parking I guess. 2 wheeler can park in front on the road.",,,,,,,,,,,,,,,,
 2 photos,5 stars,5 months ago,,This is the best place in Varanasi for restaurant and best food with best hygienic facility,5,,,,₹1–200,5,,,Lunch,,"In hygienic 5 out of 5
based on taste it's 5 out of 5
On the basis of environment 5 out of 4
On the basis of service 5 out of 5",,,,Masala Dosa,5
 113 photos,2 stars,a year ago,,"The chinese food was not at all good . The panner used was very bad taste as if it has rotten. And the chowmein was kind of ok ok but not that tasty . We also order chole bhature and it was the only item that was good . Not worth eating there . Looks like we wasted our money , it would be good if we have eaten street food . If you are eating snakes or shakes and its ok i think but if you want to give party or having dinner please don't waste your money then .",,,,,,,,,,,,,,,,
 46 reviews ,5 stars,a year ago,,"Best place to dine in, to party, to celebrate something",,,,,,,,,,,,,,,,
,1 star,a year ago,,"3rd class service
Even a street thela wala will provide good service.

Not able to provide order in given time frame. Even worst condition for running order.

Also Waiter didn't know when your orders will be served.",,,,,,,,,,,,,,,,
,1 star,11 months ago,,"Service is very useless where you have to wait 1 hour for 20 minutes to order and on calling you say cancel the order, be careful.",1,,,,,,,,,,,,,,,3
 12 photos,1 star,a year ago,1,"The food was unbearable, I have to wait for 50 minutes to get my meal and it also cold served... I do not recommend anyone to go there and waste their hard earn money and there is no sweetness to their malali kofta and their paneer is also half baked...",,,,,,,,,,,,,,,,
 3 photos,2 stars,2 years ago,,"Good food is not the only reason why people go to restaurants. Some go to spend evening with their loved ones too. For the former purpose , the restaurant is appreciable while for later, it is worst. Their staff will literally push you to eat fast and run away on Sundays( usually, rush can be seen oon Sunday on all restaurants) and this behaviour ii's literally very irritating. I would not recommend family gathering on this place.",,,,,,,,,,,,,,,,
 82 reviews ,4 stars,2 years ago,1,"Good place near BHU, Everything Fine like Service or Food ☺☺",,,,,,,,,,,,,,,,
 62 reviews ,4 stars,10 months ago,,"Food court, providing food at a reasonable price, cleanliness & hygiene upto the mark, taste as well as the texture of mood is amazing, food menu is literally the best in Varanasi.",5,,,,₹1–200,5,It's a complete vegetarian place,,Brunch,,,,,,"Jugalbandi Pizza, Paneer Butter Masala, White Sauce Pasta, Cheese Rolls, Veg Pasta, Pav Bhaji, Paneer Paratha Choley, Cheesy Tacos, Chilli Garlic Noodles, Chhole Bhature, Veg Noodles",4
 11 reviews ,5 stars,a year ago,,My fav place to eat and superb taste,,,,,,,,,,,,,,,,
 99 reviews ,1 star,2 years ago,2,"Worst service you will find in this Lanka area.
The food is fine here but the service and behaviour is very pathetic.
I would suggest whoever reading this review better go home cook khichdi and enjoy.

The best part was the people here had no regret about their worst service.
The best they said was ""Sir 2 min aur intezaar kar lijiye naa""

Some people come for food, some to celebrate an occasion, please don't ruin someones mood in name of running a food court.
Dear Owners of this place your staff might me making you lot of money but they need a training.",,,,,,,,,,,,,,,,
 10 reviews ,4 stars,a year ago,,"The food quality and   taste was amazing 😋
And  one thing is I really don't like is that they have soo much staff and   some of useless they only serve water  the billing counter always filled with people  like a  dhabha …",,,,,,,,,,,,,,,,
,5 stars,a year ago,,Food was good & portions were also sufficient. The only thing where they can improve is service time. You need to wait for 45 minutes at peak time.,4,,,,,,,,,,,,,,,4
 154 reviews ,5 stars,a week ago,,Best restaurants at lanka in low price,5,,,,,5,,,,,,,,,,5
 53 reviews ,4 stars,3 months ago,,Delicious food and budget friendly.,4,,,,,4,,,,,,,,,,4
 171 reviews ,5 stars,2 years ago,,"I personally love this place.

This place has a lot of memories I had with my friends and colleagues.

You can take any dish from the menu to get order and you will find it so good in taste and presentation.

The best part of this restaurant is if you don't like the food in any case, they will get it replaced with the better one.

आप लोग यहां आइए भले ही अपने परिवार के साथ या फिर अपने दोस्तों के साथ, और यहां के खाने का मजा लीजिए।",,,,,,,,,,,,,,,,
 21 reviews ,1 star,4 months ago,,Found paper pin in curd rice,1,,,,,1,,,,,,,,,,1
 17 reviews ,4 stars,a year ago,,The food was good. But the service was too slow. It needs to add more staff for better service.,3,,,,₹200–400,2,,,Lunch,,,,,,"Masala Dosa, Chhole Bhature",4
 21 reviews ,5 stars,2 years ago,,"Budget friendly & hygienic place. Almost everything here tastes good, but I really like the crispy baby corn here. Whenever I come to Banaras, I must go here once And one important thing is that Banaras Hindu University students also get discounts here. Must visit.",,,,,,,,,,,,,,,,
 62 reviews ,3 stars,2 years ago,,"Probably one of the best restaurants around BHU with large variety of dishes from continental to Chinese to South Indian. However, the food was very oily. Ambience was nice but the place was crowded, should've been managed better.",,,,,,,,,,,,,,,,
 2 photos,4 stars,a year ago,,Good place and food quality but it takes a lot of time to order.,2,,,,₹200–400,3,,,Breakfast,,,,,,Veg Noodles,4
 97 reviews ,5 stars,2 years ago,1,"Amazing restaurent.!! I recently visited to this place with my family. However, I ordered many times through Zomato and Swiggy but this time I visited in person. Its pure veg place which i liked most. I also liked neat and clean people, and ambience. I ordered many items and found them delicious. Few items you can try here are Veg Biriyani, Panjabi plater, Noodles, Pizza, Thali etc. Its self service restaurant near Lanka Gate BHU beside V2 mall.

Cons: Recently they increased prices by 20-25% which I think too much. Otherwise previous rates were pocket friendly. I request them to cut down prices a little. Or increase gradually not directly.",,,,,,,,,,,,,,,,
 8 photos,5 stars,8 months ago,,"Amazing taste
Reasonable prices
Good atmosphere
Each & every dish was so tasty 🤤",5,,,,,5,,,,,,,,,,5
,4 stars,2 years ago,,"Food was really great. They had different pizzas 🍕 and different foods like chola bhatura, dosas too. I think they had burger too but I'm not sure and they had cold drinks like mojito, cold coffe and shakes I got brownie shake. It was really tasty.  And yeah there are two floors in capsicum 1st one is for couples 💑 and second one is for family 👪 ... well if they're any mistakes then you have my apologies..",,,,,,,,,,,,,,,,
 38 reviews ,4 stars,a year ago,,"Food is good and price is average
Mainly you will see bhu students and couples here
Self service restaurant",3,,,,₹1–200,3,,,Lunch,,,,,,"White Sauce Pasta, Cheesy Tacos",4
 58 reviews ,4 stars,a year ago,,"The ambiance is good, the food is good but their service is slow. Near bhu one of the regular spot of college students for birthday celebration.",3,,,,,4,,,,,,,,,,4
 11 reviews ,5 stars,a year ago,,"This place is only place at Lanka where everyone can enjoy a better experience than anywhere at Lanka.
Good vareity of Vegetarian Indian and Chinese CuisineMostly popular among college goings and bachelors,",,,,,,,,,,,,,,,,
 84 reviews ,1 star,a year ago,,"No order system, first they gave you Paratha then after 20 min they will give you paneer its like madness in there , no staff cooperation, there is no  one to hear if you have any problem ,,
If you are coming here for dinner or party please think before you come it will totally spoil your mood .",,,,,,,,,,,,,,,,
 11 reviews ,4 stars,4 months ago,,"Everything OK, but India is not for beginners😄😁",4,,,,₹200–400,5,,,Lunch,,,,,,,4
 78 reviews ,5 stars,2 years ago,,"Everything is too good. I think everyone loves it's meals.

Worth of money or u can say it is cheapest restaurant in varanasi . At Lanka (BHU) no anyone will give u such types of quality and quantity of food in such low price.

From my side I will give 10 stars to this restaurant.

I love to eat

2 boul manchurian +2 plate rice+ , baby corn+ coke only in 199",,,,,,,,,,,,,,,,
 112 reviews ,1 star,11 months ago,,The quality of food was very poor and rotten also. The food ordering process is not suitable for new coustomer.,1,,,,₹200–400,1,,,Dinner,,,,,,,1
 11 reviews ,5 stars,a year ago,,Food tastes good and  should be given a try. I like the pizza and mushroom roll here. The drinks available are also good,4,,,,₹600–800,4,,,Dinner,,,,,,"Masala Dosa, Hakka Noodles, Chilli Garlic Noodles, Mushroom Rolls",5
 4 photos,5 stars,a year ago,,Nice place food are very yummy 😋 …,,,,,,,,,,,,,,,,
 15 reviews ,5 stars,a year ago,,One of the finest restaurant with all the kind of dishes and their food serving way is quite amazing. You can find more luxurious and lavish restaurants in that area but Capcicum is best in every parameter.,,,,,,,,,,,,,,,,
 42 reviews ,5 stars,2 years ago,,"Tried the masala dosa at the Madras cafe. Was good and value for money.

It's a self service place with food courts having multiple cuisines - North Indian, Italian, Chinese and south indian. You get shakes and smoothies too here.

The only negative I found was that the tea and coffee were from the machines which is not really enjoyable.",,,,,,,,,,,,,,,,
 15 reviews ,4 stars,3 years ago,,Best place and taste was awesome,,,,,,,,,,,,,,,,
,5 stars,a year ago,,"100 meters from Lanka Gate of BHU. Self service restaurant serving delicious vegeterian foodstuffs at reasonable prices, with enough dinning space.
One can visit with friends and family as well.",,,,,,,,,,,,,,,,
 56 reviews ,5 stars,a year ago,,Best Restaurants in Varanasi i can say.. Affordable price with nice variety. You can book plate system for small parties. Must try chole bhature and garlic noodles,5,,,,₹600–800,5,,,Dinner,,,,,,"Crispy Baby Corn, White Sauce Pasta, Paneer Paratha Choley, Cheesy Tacos, Hakka Noodles",5
 48 reviews ,5 stars,2 years ago,3,"It's awesome restraunt to visit.
Nice ambience,
Bit crowded sometimes just becz located on main road side,
Must try it's baby corn and rolls,
It's awesome
Even good to go with family also,
U can celebrate ur birthday also.
All over good one.
👍☺☺",,,,,,,,,,,,,,,,
 5 photos,4 stars,10 months ago,,"It's a student budget friendly resturant, must go...even it has a self service...but it's okay...",3,,,,,4,,,,,,,,,,4
 74 reviews,4 stars,3 years ago,,"Mostly it's good according to price/quality/ quantity/vibe ratio but the biggest turf off maybe the self service , think they can do it but eventually they don't, but otherwise nice especially for bhu students they get extra discount",,,,,,,,,,,,,,,,
 18 reviews ,5 stars,2 years ago,,"Great place. Go to the 2nd floor banquet during the rush hour. It is a self service restaurant, so don't ask for a menu and don't ask for a waiter. The waiters are only there to serve you water and sanitation. You'll have to order at the reception.",,,,,,,,,,,,,,,,
 69 reviews ,1 star,2 years ago,,It's one of the worst place i have ever been. I strongly suggest to everyone never go there. It's completely waste of money. It's deserve 0 star but unfortunately google didn't allow to do that. Every things is worst whether it is staff behavior our food taste.,,,,,,,,,,,,,,,,
 63 reviews ,5 stars,4 months ago,,They provides very tasty food,4,,,,,5,,,,,,,,,,5
 34 reviews ,4 stars,2 years ago,,"A fine dining restaurant 😀 for family & friendly,you can also organise birthday party & more in advance Booking.For food there is lots of varieties like palak paneer, tikka paneer masala & special thali, Deluxe thali at minimal price,they also provide shakes,ice cream, starters, cool drinks & lots of beverages,etc you can also order food from swiggy & Zomato but personally I don't prefer this because they charge more price's you can only prefer in emergency or you can't want to go outside 👍🤗",,,,,,,,,,,,,,,,
,1 star,2 years ago,,"One of the worst restaurant in Lanka. I have try twice
Online : send stale food
Offline : worst taste and without customer permission add mushroom in every dish.",,,,,,,,,,,,,,,,
 40 reviews ,3 stars,2 years ago,,"A few items are good enough for seconds and revisits, waiting time after orders is slightly more than anticipation. No waiter services, self service promoted. Overall a nice place, not recommended for quick bites",,,,,,,,,,,,,,,,
 58 reviews ,5 stars,a year ago,,"Staff behaviour good...!
Atomsphere is also better than from other place...!
And food Quality is BEST in class",4,,,,₹200–400,4,,,Lunch,,,,,,,4
 11 reviews ,3 stars,2 years ago,,"Its a nice place for students. You'll get almost everything in average price. Recommendation from my side - Super cheese garlic bread, Punjabi platter, North Indian platter, Mushroom Garlic Noodles, Masala lime soda.",,,,,,,,,,,,,,,,
 1 photo,1 star,a year ago,,"kesariya thali, oh God
such a worse experience.
total waste of money.
quantity and quality of food was not adequate.
Never buy",,,,,,,,,,,,,,,,
 46 reviews ,4 stars,2 years ago,2,"Best resturant in Lanka, and it is nearest to bhu campus and assi Ghat.
Mostly friends are visite here and do party's . Food are good in test and in affordable price. 😊
Here family table are also available.
And free wifi for all. Special 10 percent discount for bhu students🥰
Staff behaviour are very good.
Here all debit card's are accepted and one good thing is it's Pure vegetarian restaurant.
It is also good in neet and clean.
And it is accept online order on swiggy and Zomato apps.",,,,,,,,,,,,,,,,
 1 photo,5 stars,3 years ago,,"This place was just wow 😲 man .
The place is very neet and tidy.
And... quality and taste of food ...superb ...
And..i liked the way....the waiters .were serving......once u give ur order u need not to ...wake.up from the chairs.... everything is.. provided on ur.desk...
Really awesome 😘😘😘😘",,,,,,,,,,,,,,,,
 25 reviews,4 stars,2 years ago,1,Chinese is good. Try chilli garlic noodles and baby corn chilli. Pizza is also nice. Moderate pricing. Usually crowded. Order takes time. Better option to order at home via zomato if eating alone.,,,,,,,,,,,,,,,,
 19 reviews ,5 stars,2 years ago,1,"Been there few times, its a pure vegitarian restauranr with good ambience for a date or for just hangouts and.. If you are a BHU student, you can show your passbook and get 10%off !!!",,,,,,,,,,,,,,,,
,1 star,a year ago,1,It's very worst service.i was taken a service and avail discount for next time but whenever reach at resturent then there available staaf denied to give any discount and misbehave with us...,,,,,,,,,,,,,,,,
 5 photos,4 stars,3 years ago,,Delicious pizza...you will also going to love it..,,,,,,,,,,,,,,,,
,1 star,6 months ago,,Over hyped not good taste worst behaviour of staff totally disappointed,1,,,,,1,,,,,,,,,,1
 40 reviews ,5 stars,a year ago,,Little too crowded. Bht fast service and okaish food. Overall good place for any fresher to come,5,,,,,4,,,,,,,,,,4
 11 photos,4 stars,7 months ago,,Good food but costly for little things,4,,,,₹200–400,4,,,Dinner,,,,,,,4
 25 reviews ,4 stars,2 years ago,4,Good food court. Not that budget friendly!!,,,,,,,,,,,,,,,,
 15 reviews ,5 stars,a year ago,,"Realy awasom❤️❤️....
You should have to visit at list one time .....",,,,,,,,,,,,,,,,
 45 reviews ,5 stars,2 years ago,,"The food here is so good. Be it taste or quantity. Also the rates are pocket friendly. The whole food court dining area is clean, staff is friendly and helpful.  I highly recommend this place.",,,,,,,,,,,,,,,,
,1 star,11 months ago,,"Khaana L+mid+ratio
Get better
Dont come here
Zero hygiene
Very dirty
From an IIT BHU student",1,,,,,1,,,Lunch,,,,,,,1
 188 reviews,4 stars,a year ago,,"Good taste and reasonably priced. Tried their pizza, garlic bread, pav bhaji, mojito, veg biryani. Pizza, garlic bread and mojito were great for the price.",,,,,,,,,,,,,,,,
 40 reviews ,4 stars,a year ago,,Food is good but the service is tooo slow. 1 hour waiting period for a single plate of simple chole bhature... Unbelievable,2,,,,₹1–200,4,,,Dinner,,,,,,"Cheese Rolls, Chilli Garlic Noodles",4
 1 photo,1 star,9 months ago,,Irresponsible manager. Will make you wait for 40 minutes for rotis. Worst service.,Take out,,,,,,,,Dinner,,,,,,,
 96 reviews ,4 stars,2 years ago,,i have  dine  in  resturent  but price  is highly compare  to other  resturent  . if i talk  about the  food  quality food quality  is good and testy  but quantity is  very  low and  over  all good experience   in  the resturent .,,,,,,,,,,,,,,,,
 20 reviews ,5 stars,2 years ago,,"Too good, from food to ambiance, and ofcourse it is pocket friendly and here is self service system that's all right.. Loved everything about it",,,,,,,,,,,,,,,,
 175 reviews ,3 stars,a year ago,1,"It's good but crowded all the time. You will get a variety of foods here that is south indian ,North Indian and Punjabi etc.
Taste was good.",,,,,,,,,,,,,,,,
,2 stars,7 months ago,,"The food is good
But the service is poor",1,Menu is all vegetarian,,,"₹1,200–1,400",1,,,Dinner,,,,,Somewhat recommend,,4
 74 reviews ,4 stars,11 months ago,,My wife visisted alot and as per her its good. Specially chole bhature.,3,,,,,4,,,,,,,,,,4
,4 stars,2 years ago,1,Okay so this place made me survive for 4 days in varanasi ! They have amazing range of cuisines at affordable prices . Do try out their maharaja platter ! Everything else is just YUMM😋 …,,,,,,,,,,,,,,,,
 78 reviews ,3 stars,2 years ago,1,"Very good place for snacks and food.It is the place where you feel self service.Here you get price chart without GST and when you pay , you will pay GST that is not good.I think price chart should show include GST. Prices are also higher than other.",,,,,,,,,,,,,,,,
 5 photos,1 star,2 years ago,,I still don't know how their food tastes because I am waiting for it to arrive and their service is soo slow that I got an urge to review this restaurant without even tasting the food. And I am just as lazy as this place to write a review.,,,,,,,,,,,,,,,,
,4 stars,a year ago,,"It was awesome experience😍... with my friends.
Should also recommend to visit here.
#Banaras❤️",3,,,,,4,,,,,,,,,,4
 30 reviews ,4 stars,2 years ago,,"I rated it 4 since we self have to serve our food but food here is good well enough.It also provides free wifi if you ask.
All of this you will like this place.",,,,,,,,,,,,,,,,
 25 reviews ,4 stars,2 years ago,,Good food at min price 😋 …,,,,,,,,,,,,,,,,
 48 reviews ,4 stars,a year ago,2,"Awesome place. Taste is so nice. Self service
Menu is good",4,,,,,4,,,,,,,,,,4
 9 reviews ,4 stars,8 months ago,,"Overall experience is good .
One more thing which they improve is to service time delayed.",4,Menu is all vegetarian,,,₹200–400,5,Everything which is in menu is vegitarian.,,Brunch,,,,,Highly recommend,"Pav Bhaji, Hakka Noodles",5
 11 reviews ,5 stars,2 years ago,,Bestt but some order takes much tym......,,,,,,,,,,,,,,,,
 19 reviews ,1 star,2 years ago,,"Ordered a kivi shake with kivi I guess was eaten by the chef itself, what I received was just a whipping cream. Wondering who ate my kivi, was there a invisible man, or was it a ghost interested in my kivi, so haunted, o my Jesus, never visiting this place again.

Kuch tooh daal dete yaar, mujhe hi bula leete mai khud bnaa leeta. Puura mood khrab krr diiya shhhhhhhh.

So I guess 20 ki tumhari whipping creamy shake with no kivi baaki bache paiso se A/C thik kraa leena.
Thank you for wasting my time😁😁",,,,,,,,,,,,,,,,
 11 reviews ,3 stars,8 months ago,,Order  takes too much  time on special days as well as normal days . By the way food is nice platter system is also good.,,,,,,,,,,,,,,,,
 17 reviews ,3 stars,2 years ago,2,"Very nice place for celebrating birthday and giving treat to ur friends....
I am giving 3 stars bcoz they sometimes give late food due to overcrowd....

After all the food is very tasty but they made white sauce pasta very tastelesss..... So don't order it....",,,,,,,,,,,,,,,,
,1 star,a year ago,2,"Awful service. No proper management by staff 😑
Manchurian tasted disgusting and had a sweet tinge in it 🤮",1,,,,,1,,,Dinner,,,,,,,1
,2 stars,8 months ago,,"It took 2-3 hours to go, it took a lot of time.",1,,,,₹1–200,4,,,Other,,,,,,,2
,4 stars,a year ago,,"Too good, cheap and best taste it is mostly preferred by students because of its pocket friendly nature, self service is provided here",,,,,,,,,,,,,,,,
,1 star,a year ago,,"Worst service restaurant. Food will be delivered after 1 / 2 hours, money is taken in advance and will not even be canceled.",,,,,,,,,,,,,,,,
 11 reviews ,1 star,2 years ago,,Capsicum is very late services from restaurant today kadaee paneer my swiggy order is delay due to swiggy staff personal problem but capsicum owner is not provide other delivery transfer staff so please next time be care full,,,,,,,,,,,,,,,,
 46 reviews ,4 stars,2 years ago,,Best food court in Lanka area. For BHU students discount is available. Taste of food is delicious. Self service restaurant. Staff behaviour is nice.,,,,,,,,,,,,,,,,
 16 photos,5 stars,a year ago,,🤝 …,,,,,,,,,,,,,,,,
,5 stars,a year ago,,"Both of them are very cool, attractive and loved places for party with friends and family also they both are my loved ones place...",3,,,,₹600–800,5,,,Brunch,,,,,,Masala Dosa,5
 35 reviews ,4 stars,2 months ago,,Best for everything in your budget 🤗🫰,4,Large vegetarian selection,,Dessert 🎂,₹200–400,4,Baby corn,,Lunch,,,,,Highly recommend,Chilli Garlic Noodles,4
 21 reviews ,3 stars,a year ago,,"Overall good experience
Everything was okay but you have to wait for almost 30-40 minutes for some of the items.
Cost efficient",3,,,,,4,,,,,,,,,,3
 54 reviews ,5 stars,a year ago,,"Everything is right,
But the clothes of the people working there are not clean, they are very dirty.
If you order food, you may have to wait for 30+45 minutes.",,,,,,,,,,,,,,,,
,5 stars,a year ago,1,"The place specially chosen for Rishi Bhaiya is from the beginning, along with the experience of good management from the beginning, the manager is also rich in good personality, I have spent hours of peace and tranquility sitting here in the afternoon. I will say",5,,,,,5,,,Breakfast,,,,,,,5
 62 reviews ,3 stars,2 years ago,1,"Self service is worst there. Food quality is good, but there's a lack of management and restaurant hospitality skills and specially very crowded",,,,,,,,,,,,,,,,
,5 stars,9 months ago,,This food court is really pocket friendly place along with clean and good atmosphere.,,,,,,,,,,,,,,,,
 139 reviews ,5 stars,a year ago,,"It's very affordable,decent place with good vibes.and food is also delicious.go for it without a single doubt.",5,,,,₹400–600,5,,,Dinner,Somewhat difficult to find parking,,Free street parking,,,"White Sauce, Masala Dosa, Paneer Butter Masala, White Sauce Pasta, Cheese Rolls, Veg Pasta, Pav Bhaji, Paneer Paratha Choley, Paratha, Veggie Roll, Cheesy Tacos, Hakka Noodles, Fried, Garlic, Mushroom Rolls, Veg Noodles",5
 1 photo,1 star,2 years ago,,Dnt ever visit this restaurant main problem is if you r visiting with frnds or more than 3 ppl then you have to wait for 2 hours as per restaurant staff they clearly saying 1 dish will provided and then other dish will prepare....very bad......never come here,,,,,,,,,,,,,,,,
 21 reviews ,4 stars,a year ago,,"great place for delicious food
Even ordering only 2 roti from running table took 15 minutes, very bad",,,,,,,,,,,,,,,,
,1 star,10 months ago,,Extremely bad experience related to the food which I ordered. Highly disappointed.,1,,,,₹200–400,1,,,Lunch,,,,,,,1
 145 reviews ,4 stars,11 months ago,1,Although it’s a very good cafe or restaurant you can say with vast variety of food.,4,,,,,4,,,,,,,,,,4
 2 photos,3 stars,3 years ago,,Sometimes taste was awesome like South Indian are amazing but Chinese is not up to the mark facilities are good if you searching for South Indian visit once you will never regret .,,,,,,,,,,,,,,,,
 13 reviews ,2 stars,2 years ago,,"IF the place is full..Just walkout.
They will make you wait for more than half hour and give you half cooked pastas.

Else the place is good",,,,,,,,,,,,,,,,
